A,B,C,D,E,F,G,H,I,J,K,L,M
2756.531613,0,100929.4217,99656.49747,-0.863740826,0.311456891,291.8513078,74.05140136,1.77802542,26.81694041,78.27935567,0,18.85546768
2673.897483,0,100947.3629,99673.121,-0.806145394,0.272614197,291.664249,74.96443077,1.969029949,29.85649335,82.10661743,0,29.46915489
2653.631911,0,100965.2876,99689.72898,-0.748647186,0.233835556,291.4772323,75.87704226,2.160104687,32.89580534,85.93138754,0,32.54562118
2574.170327,0,100953.4934,99678.36133,-0.866055854,0.310288397,291.3658793,76.03781285,2.47748534,35.5016474,85.27365812,0,32.03271624
2531.289689,0,100941.6961,99666.99112,-0.983366844,0.386740887,291.2545294,76.19840357,2.795209069,38.10663417,84.6145229,0,37.38845335
2485.687427,0,100924.049,99651.01465,-0.924955873,0.462560944,291.1486176,76.03541239,3.730126528,39.17295681,81.42632584,0,19.53147543
2460.488502,0,100906.4046,99635.0394,-0.8665124,0.538306593,291.0427022,75.87276043,4.664366614,40.24131077,78.24105288,0,43.00358735
2430.297813,0,100893.5517,99621.24528,-0.749597577,0.480191253,290.9301433,76.32036043,4.380013497,44.96399783,80.31624406,0,15.7167635
2397.837332,0,100948.7626,99671.49249,-0.497699386,0.132810566,290.4770154,81.61691421,4.656003101,11.85873296,72.78424579,0,33.2421934
2390.85858,0,100944.9979,99668.56308,-0.371060486,0.14674636,290.1871036,82.52131127,4.841267313,10.50303337,70.52666343,0,23.54136499
2347.242113,0,100941.2233,99665.62273,-0.244508379,0.160617723,289.8972209,83.42561423,5.02623552,9.148340663,68.2708874,0,35.92179912
2377.271336,-4.55E-13,100919.5468,99643.00508,-0.274095914,0.058577914,289.6596327,84.16063776,4.67869129,9.605028777,69.26468152,0,18.76547127
2467.955632,0,100897.8766,99620.39412,-0.303664979,-0.043433928,289.4220826,84.89563431,4.332338246,10.0612701,70.25713446,0,32.5281703
2606.712296,0,100887.5531,99609.81177,-0.300005947,-0.095134061,289.2530532,85.58209607,6.128927352,9.713731452,68.83681682,0,37.46625602
2703.543846,0,100877.2431,99599.24289,-0.296359337,-0.14688146,289.0840613,86.26840704,7.925377633,9.368079705,67.41705606,0,39.55218215
2773.636282,0,100891.3314,99612.92231,-0.315061187,-0.283661842,288.9825613,86.6834394,9.472081812,12.41696088,66.99914135,0,17.23874206
2759.949961,5.558844218,100905.4288,99626.61109,-0.333771828,-0.420306246,288.881067,87.09843568,11.01905406,15.46574872,66.58067534,0,29.40143384
2777.476104,11.11768844,100936.1641,99657.15815,-0.368297672,-0.312325637,288.7898611,87.44855039,13.04828977,18.34661283,65.17040475,0,65.10442372
2763.295958,113.9328593,100966.8946,99687.70057,-0.402785645,-0.204264335,288.6990103,87.79760785,15.07569442,21.22583817,63.76125753,0,47.81542184
2714.033385,216.7480302,100988.8946,99709.90057,-0.369143478,0.048964397,289.2470103,86.24468138,13.80903625,21.15689994,64.37304576,0,35.38546229
2640.356629,462.1254186,101010.884,99732.08974,-0.335494553,0.302005397,289.7952407,84.6904714,12.54232621,21.08643343,64.98010597,0,37.21473205
2666.055084,707.502807,101013.7663,99734.79856,-0.289689241,0.217315634,290.7578289,80.82723317,11.18232003,18.26661432,57.08143538,0,54.9707337
2693.244149,1055.537559,101016.645,99737.50606,-0.243956394,0.132595038,291.7204209,76.96322404,9.822368108,15.44692445,49.17801761,0,60.74216361
2783.520055,1403.572312,101012.8803,99737.82959,-0.328588668,-0.007593452,292.6898033,71.71237109,8.560021638,12.85975003,32.73442879,0,218.9529116
2960.009622,1866.564885,101009.1092,99738.14592,-0.413178851,-0.147868645,293.6591026,66.46241594,7.297658406,10.27275673,16.29677274,0,374.8052535
3194.201177,2329.557458,100993.9916,99725.51357,-0.422048213,-0.444124498,294.4790143,62.82758653,6.005142906,8.011583204,10.53218298,0,560.321637
3436.666533,2712.202134,100978.8738,99712.88083,-0.430889569,-0.740323172,295.298777,59.19370883,4.713139629,5.751205926,4.771044698,0,671.3159493
3555.539706,3094.871261,100963.5209,99699.54259,-0.389348539,-0.933656031,295.8503358,57.27195,4.342624753,4.92328437,5.21911446,0,685.6236432
3631.633805,3333.541531,100948.167,99686.20361,-0.347747529,-1.127050921,296.401772,55.35095308,3.972866229,4.096102812,5.66834748,0,557.3426778
3703.986813,3571.993514,100931.0493,99671.52125,-0.198241088,-1.43204098,296.7325073,54.8006119,4.963786088,4.60017755,8.210282775,0,214.1316503
3755.085499,3645.162972,100913.9377,99656.84322,-0.048741866,-1.73698124,297.0630927,54.25069415,5.954782544,5.104825144,10.75395338,0,160.402648
3774.355336,3718.35748,100907.7024,99649.92851,0.087770231,-1.952333322,297.1241221,54.46251768,7.083577711,6.640039467,16.4194475,0,115.4971704
3692.52639,3662.28817,100901.4714,99643.01787,0.224196874,-2.167597904,297.1850411,54.67411357,8.211784065,8.174885185,22.08414777,0,41.23160932
3547.974319,3606.265148,100902.8537,99643.41787,0.20689113,-2.225448139,297.0473353,54.47618121,8.280714121,9.046608179,26.32071365,0,2.867739879
3663.030588,3442.62886,100904.2362,99643.8179,0.189544305,-2.28326475,296.909582,54.27825241,8.349485407,9.918417342,30.55014918,0,386.0848789
3796.492979,3279.362424,100905.795,99644.26495,0.098293514,-2.280590691,296.6866114,54.08670241,8.132629483,10.94524508,21.95208201,0,557.1677558
3814.205961,2979.704128,100907.3528,99644.71166,0.006978713,-2.277897674,296.4636185,53.89549021,7.916020098,11.97199542,13.36104865,0,557.7171648
3817.765232,2679.948366,100907.1175,99644.5146,-0.199489972,-2.241098791,296.200442,54.31198433,8.14293261,12.8595163,17.4238463,0,496.9759869
3797.64994,2314.309656,100906.8884,99644.32397,-0.405881349,-2.204200182,295.9372846,54.72865672,8.369592201,13.74682895,21.48515516,0,495.3822114
3804.501549,1948.670947,100917.8296,99655.6975,-0.47319412,-1.987892476,295.7083728,55.46604495,8.14124776,14.25953201,22.86813645,0,491.6635119
3783.176376,1596.97997,100928.7679,99667.0675,-0.540477227,-1.771580252,295.479445,56.2037,7.912734973,14.77177311,24.24838352,0,448.7134635
3760.577931,1245.288992,100934.5032,99672.1028,-0.554397192,-1.547139134,295.2216803,57.42134117,7.381367855,14.45294799,20.70977519,0,365.6162356
3684.726264,958.4888881,100940.244,99677.14271,-0.568281976,-1.322663756,294.9638576,58.63967987,6.850082917,14.13388672,17.17705417,0,272.8029485
3575.302051,671.6887837,100955.9205,99690.48683,-0.5188772,-1.036553815,294.6015929,61.11285928,6.46663874,13.38997819,24.23559191,0,165.4956678
3513.045071,414.944226,100971.5917,99703.82685,-0.469560074,-0.750481641,294.2391801,63.58678089,6.083327007,12.64602498,31.29392779,0,134.5087202
3460.523921,158.1996682,100977.7387,99709.79743,-0.577926521,-0.532352938,293.6104448,67.39591619,5.938281037,11.82168909,37.98912352,0,101.1060887
3403.335479,79.11423401,100983.8972,99715.77875,-0.686182799,-0.314200556,292.9818258,71.203325,5.792824174,10.99756544,44.68042578,0,77.10253343
3374.374546,0.028799807,101010.6914,99741.05228,-0.596243822,-0.053449247,292.5624435,71.90478676,4.908172409,10.55524645,44.3673574,0,13.55845902
3310.608567,0.014399903,101037.4774,99766.31811,-0.5063963,0.207161431,292.1431534,72.60621862,4.023980203,10.11247586,44.05666898,0,25.81414812
3270.497977,0,101049.7421,99777.74164,-0.581075041,0.21477736,291.8898004,73.25385686,3.966534203,8.857302249,48.02754045,0,25.68310632
3203.196295,0,101062.0082,99789.16675,-0.655666139,0.222417376,291.636431,73.90208156,3.909187935,7.602266264,51.99824917,0,27.92103648
3138.410994,0,101076.8318,99803.42851,-0.572586756,0.273388464,291.3534016,75.60536686,4.03125917,6.594825611,55.67616093,0,29.64141326
3065.365141,0,101091.6471,99817.6828,-0.489445039,0.32430392,291.0704301,77.30831802,4.153418168,5.587434028,59.35989616,0,34.53284817
3018.925355,0,101091.7648,99818.49163,-0.294163827,0.275137097,290.891636,78.41015919,4.433461021,4.668319086,73.52004616,0,10.67489618
2964.06681,0,101091.8808,99819.2976,-0.098993756,0.226023251,290.7128155,79.51207274,4.713546959,3.749849998,87.66474749,0,43.80367474
2911.099435,0,101089.175,99814.97701,-0.10376437,0.272215751,290.4866096,80.74418451,5.071143106,3.993270292,74.01728278,0,22.53289509
2802.201226,0,101182.991,99907.55562,0.413309553,0.592353447,290.1617704,83.33595548,9.305981337,5.678160678,33.27905282,0,11.99968151
2757.025617,0,101166.7263,99891.20857,0.261093124,0.762793015,290.0660939,83.36169371,9.152317131,5.192745796,35.55531165,0,11.29735474
2737.833673,0,101150.4628,99874.86283,0.108890789,0.933136627,289.9704059,83.38748784,8.998009861,4.70730459,37.83380922,0,17.92992013
2789.867917,0,101136.4628,99860.90695,-0.017955494,0.930854944,289.8539647,83.51383784,7.686829831,4.174507237,44.13981804,0,27.97013829
2842.779292,0,101122.4686,99846.95638,-0.144774776,0.928536779,289.7375442,83.64027717,6.37556922,3.641219206,50.44693986,0,20.09452276
2921.855988,0,101118.8804,99842.55049,-0.223020656,0.860585543,289.6583383,83.92742423,4.919340984,2.225201029,58.75633692,0,36.84673184
3030.664016,0,101115.2986,99838.15177,-0.301186454,0.792670056,289.5791271,84.214707,3.463534811,0.809891341,67.06056714,0,29.79867179
3087.605996,0,101123.3574,99846.62824,-0.235282656,0.789065018,289.4902153,84.74613347,2.767017811,0.669153047,66.06964949,0,43.41286117
3073.488402,7.582416193,101131.4175,99855.10522,-0.169442187,0.785512076,289.4013193,85.27757168,2.070644422,0.528411561,65.07937251,0,37.12439879
3045.306399,15.16483239,101141.7705,99864.50817,-0.217531658,0.875681176,289.3407899,85.83012168,1.632626951,0.381927149,65.24165192,0,66.64486883
3040.08496,152.6350695,101152.1258,99873.91413,-0.265576093,0.965830699,289.2806603,86.38119678,1.194727562,0.235499384,65.40271063,0,100.1446352
2963.196734,290.1053066,101166.7434,99888.75825,-0.232603087,1.02076152,289.9397779,84.27893796,0.969256738,0.190979384,63.36772239,0,155.0422142
2899.273512,588.3949599,101181.36,99903.60263,-0.199550322,1.075613409,290.5992407,82.17558444,0.743881656,0.146458587,61.33440804,0,253.1745185
2891.209181,886.6846133,101194.1247,99918.92027,-0.023013623,0.988466879,291.8795937,78.10287268,0.690744891,0.100502822,62.31240804,0,365.1439374
2920.730416,1248.520784,101206.8857,99934.23483,0.153548083,0.901306688,293.1598811,74.02993166,0.637641636,0.054566604,63.28770334,0,422.3904651
2987.79057,1610.356954,101212.974,99943.98777,0.375097936,0.789567998,294.3222634,69.54456107,0.644822225,0.043795693,59.39725334,0,589.7231966
3160.517571,2039.862884,101219.0541,99953.73217,0.596619855,0.677815049,295.4844883,65.05995218,0.651938187,0.033021589,55.50139395,0,800.4586604
3388.688906,2469.368813,101210.5247,99948.09981,0.76788794,0.540408197,296.3634,61.94563747,0.542793187,0.016506207,41.87403513,0,905.3745879
3637.617,2815.63962,101201.9937,99942.46566,0.939145539,0.402968268,297.2421684,58.83198985,0.43369526,7.98E-06,28.25815171,0,929.6107371
3790.66689,3161.945191,101190.6996,99933.58919,1.091537394,0.206022427,297.862992,56.91843103,0.409281087,0.014369184,35.28652524,0,940.9835938
3838.453526,3386.177634,101179.4041,99924.71107,1.243895675,0.009112192,298.483697,55.00470622,0.385170094,0.028912299,42.31865184,0,857.1470277
3932.492153,3610.184661,101165.5806,99912.86401,1.335852028,-0.123742396,298.891197,52.79236504,0.906482153,0.370709069,56.10255478,0,552.4257047
3973.323171,3682.843467,101151.7556,99901.01453,1.427806255,-0.25656185,299.2986022,50.58086073,1.427570018,0.712634294,69.88070685,0,473.0117438
4003.023394,3755.537316,101135.3733,99884.82336,1.515935372,-0.326173732,299.5354257,49.87488426,1.545333195,1.285647788,73.31303038,0,454.0322477
3919.10938,3698.78291,101118.9818,99868.62371,1.603965531,-0.395815992,299.7721427,49.16939068,1.663149825,1.85841714,76.74445155,0,401.7333497
3750.374075,3642.00377,101086.2171,99837.18842,1.513968637,-0.520107786,299.8172309,49.33261127,1.877129269,1.991975434,78.55252802,0,322.8601532
3861.140339,3461.881528,101053.4541,99805.75466,1.423935666,-0.644363814,299.8622624,49.49606299,2.090996618,2.125531336,80.35930081,0,359.9397334
4016.702289,3281.983747,101023.8071,99777.08407,1.269001214,-0.704276196,299.805233,50.07533358,2.103205553,2.254782748,79.82075669,0,738.3667502
4084.864425,3021.010767,100994.1645,99748.41682,1.114120547,-0.76426207,299.7481463,50.6546527,2.115289226,2.383814352,79.28117219,0,906.8440495
4098.66541,2759.937276,100972.6057,99725.75506,1.056001182,-0.956457805,299.5879404,51.32128211,1.902024885,2.117413302,76.86993101,0,919.4806398
4055.80306,2345.143867,100951.0569,99703.1036,0.997812394,-1.148565596,299.4275936,51.98841424,1.689149493,1.851489764,74.46094853,0,635.487283
4054.628799,1930.350458,100947.6157,99698.99183,0.814730223,-1.182462155,299.0137407,53.55992895,2.175994602,2.44460914,76.11536324,0,344.4382587
4033.891229,1500.320646,100944.1831,99694.88757,0.631579655,-1.216268651,298.5998274,55.13196428,2.66303997,3.038508407,77.77161617,0,246.3658137
4023.181024,1070.290834,100956.036,99704.27875,0.325381566,-1.088052592,298.0773862,57.64060251,3.510352085,5.035430669,82.73484558,0,152.6816935
3933.158139,785.8347223,100967.8967,99713.67843,0.019260398,-0.959782338,297.5548791,60.14995664,4.357567661,7.033013553,87.69700668,0,126.4627147
3812.756075,501.3786103,100993.7791,99738.38137,-0.148482289,-0.734014014,296.9136438,63.94719781,5.031109661,10.21905658,90.73726845,0,78.58707481
3736.776426,309.8694879,101019.6566,99763.07877,-0.316224677,-0.508179984,296.2724559,67.74394321,5.704946862,13.40525359,93.77582522,0,78.11007609
3673.280611,118.3603655,101036.8919,99777.80524,-0.483428784,-0.164139596,295.7166324,70.64877556,6.90985198,16.86845556,93.74710463,0,85.17794659
3618.764563,59.20178221,101054.1275,99792.53292,-0.65055476,0.179872787,295.1609744,73.552141,8.113928935,20.33142057,93.71975714,0,61.34142214
3588.621068,0.043198892,101071.8039,99809.43292,-0.677122063,0.473503422,294.9031803,73.81653218,7.828141082,23.36809851,96.1626042,0,20.01254712
3507.014096,0.021599446,101089.474,99826.32582,-0.703700129,0.76708957,294.6454641,74.08048728,7.54274497,26.40377875,98.6043215,0,27.81805815
3477.604102,0,101095.5328,99830.45524,-0.749641473,0.980643076,294.5279641,73.5599461,7.962090999,27.64458993,99.01361268,0,28.91048245
3383.075011,0,101101.5877,99834.583,-0.795521007,1.194103412,294.410462,73.03969853,8.382270776,28.88491202,99.4227762,0,14.12941449
3301.533349,0,101100.5877,99835.73888,-0.730204331,1.239951471,294.2891973,73.04764853,10.30236169,29.24537379,99.60229385,0,29.25121343
3226.214088,0,101099.5806,99836.88587,-0.664866305,1.285789091,294.1679448,73.05537528,12.22140982,29.6040069,99.78175166,0,22.56571239
