Feature,1,2,3,4,5,6,7,8,9,10,11,12
S87,-2.250634639,-111.1192771,-14.63690636,-15.48224886,-7.057888612,-4.087614698,-18.83085934,10.96988497,-3.263095136,-22.17220617,5.978031391,5.846893949
S88,-3.54391156,-125.8750457,-14.18405113,-15.19770192,-6.006025033,-5.504761044,-21.89230567,11.25478749,-7.919893381,-19.66212132,4.257495808,6.426868331
S89,-4.268084414,-125.5794917,-13.57648088,-14.75813445,-5.04488108,-6.27773034,-24.7407142,11.56340507,-10.15501047,-15.7683962,3.295063861,7.102660543
S90,-5.134899622,-124.2643857,-13.01714921,-14.27906603,-5.246748513,-2.072848968,-28.06874208,10.814697,-7.770355349,-14.53447364,3.693076672,7.627093989
S91,-6.767534808,-122.5209153,-12.75821362,-14.07052849,-5.121191492,1.866359063,-31.86445259,9.989834856,-5.378072501,-13.05364311,3.591752941,7.980895813
S92,-7.787508423,-122.5145695,-11.9081797,-13.27922804,-3.443243142,10.11880933,-34.11971128,8.677017861,-5.068236778,-12.70617153,4.004380154,8.149855802
S93,-9.273570112,-122.1330095,-11.41137642,-12.81302272,-1.888312427,17.97105275,-36.79431413,7.180014653,-4.937179851,-11.67840518,4.082594092,8.164808054
S94,-9.352662757,-121.8757486,-13.89006719,-15.218048,-2.894113729,20.19666476,-41.5235281,4.928117097,-6.957612567,-5.331567271,6.47897864,7.578186796
S95,-8.119368328,-120.6682433,-15.84793546,-17.09563868,-3.574407958,23.23194048,-45.95797156,1.538767024,-8.087180409,2.756548975,14.5156103,7.041375965
S96,-6.708779771,-120.0760669,-16.68254787,-17.94086828,-3.397140236,18.30655426,-47.85754232,1.422016104,-8.159608958,8.324160681,17.40045818,6.549768024
S97,-5.770930449,-115.9595998,-14.39068803,-15.94776426,-7.56617778,23.38256697,-49.36719608,0.934508207,-7.462771655,17.84512984,15.89242843,6.939397133
S98,-3.810832147,-114.902045,-14.58376067,-16.11436618,-6.598907933,23.65839133,-49.56504126,1.130724398,-6.845929516,16.83018165,16.59056577,6.798862924
S99,-3.270647716,-114.0974828,-14.59436881,-16.09017599,-6.311918252,23.82996953,-49.81424996,1.414667075,-6.069104223,15.14991173,16.66910711,6.7305138
S100,-4.65285104,-113.8321338,-15.07963408,-16.54842788,-5.550645434,20.99239322,-50.33518163,2.537257308,-5.305098623,12.17262118,16.40585129,6.639455319
S101,-6.950316623,-113.8131233,-15.49651922,-16.93493363,-4.96477444,18.31895977,-50.92571766,3.608542521,-4.26707174,8.810633448,16.0377285,6.634707615
S102,-9.039651244,-114.0918999,-14.34191468,-15.82636823,-5.474618084,19.6158729,-51.29101908,3.710192708,-3.518286406,6.137401854,13.99172373,6.939993365
S103,-9.721840489,-114.2001977,-12.92657829,-14.46977972,-5.94098838,21.00912748,-51.55299622,3.624935113,-2.750851536,3.728286378,12.47295041,7.217674145
S104,-9.622860594,-114.0157802,-11.61422159,-13.18649749,-3.832520382,25.66429118,-52.80054453,2.991358667,-2.203970413,1.582814722,13.62560393,7.338820245
S105,-9.962477998,-112.2503824,-10.81381185,-12.40573321,-1.029232388,30.18469899,-53.9813902,2.547842463,-1.931529345,0.566526116,15.08501239,7.308071514
S106,-10.00067108,-110.0176968,-11.22142348,-12.82995865,-0.304406261,27.50706535,-53.26323727,4.19129062,-1.767469889,-5.449175065,14.50621704,7.08371599
S107,-10.72759598,-87.55508385,-12.95135078,-14.51961901,0.767423767,24.99911566,-52.81578027,5.830111731,-1.937769918,-10.18374703,13.80573654,7.066995192
S108,-11.78634275,-65.82025931,-15.54246816,-17.04357499,-0.397686512,20.14042417,-49.4034594,7.019510008,-2.097553716,-12.14375019,12.8210399,7.15098954
S109,-13.21999087,-16.00073213,-20.18974936,-21.54809335,-1.586422537,14.99653034,-45.6600941,7.665270933,-2.706092155,-14.04690453,12.08327851,7.484824275
S110,-13.53383153,32.8669427,-23.25769248,-24.49447365,-4.104134317,19.67772409,-40.77416149,6.969018346,-3.605930855,-6.540458967,11.32953564,8.684093561
S111,-13.75108906,93.23733572,-26.59263522,-27.74584157,-6.375784562,25.55068809,-33.80994566,6.737189588,-5.08444013,4.466311299,11.8458125,10.05832332
S112,-12.51337657,152.384951,-28.39878713,-29.48608379,-13.26580462,26.2675577,-26.99906223,6.913975655,-7.312780788,22.10946906,11.24568082,11.08658374
S113,-10.14144994,227.5938889,-27.79636526,-28.75076792,-22.69519222,26.40052467,-18.81788781,7.841172729,-8.062578351,45.24088738,10.56643791,12.23990652
S114,-0.946392741,292.6974711,-23.58693683,-24.44452428,-37.23781588,19.69981349,-9.572267108,9.327811205,-7.651577704,65.92631792,11.40430547,12.78744507
S115,11.46318606,337.0318396,-19.409944,-20.26029508,-51.74238692,11.99787351,1.326798747,11.63771406,-5.29032733,87.23017965,17.8428744,12.67424682
S116,22.79588442,362.1403536,-16.72992655,-17.63804926,-67.24834473,-3.178586706,10.06475838,10.89761121,-3.290125385,93.94884546,24.53124433,11.7007712
S117,28.93535523,365.0293485,-15.2101687,-16.19597156,-80.43702997,-19.44300865,18.13171905,8.797667684,-1.196955734,98.84757758,32.08484376,10.4286791
S118,33.94818377,360.1109272,-14.47454007,-15.52455008,-87.59472984,-30.86193461,22.17758321,5.55807816,-3.803904056,102.1568288,37.51947993,9.53894441
S119,38.31423696,350.6734107,-13.47248923,-14.57170795,-93.40221574,-42.06474966,26.22756785,3.667337428,-6.204426996,106.365358,41.54438042,8.822823464
S120,37.7172161,341.1947511,-13.4744612,-14.59321053,-96.24490626,-53.08884817,27.59396212,0.285550033,-7.985035852,103.3696255,42.31964718,8.188450875
S121,32.05584615,332.9768458,-13.62363336,-14.72057988,-98.3660403,-63.9102352,29.43822174,-2.048724529,-9.475810305,102.9728872,41.23810501,7.815869068
S122,16.61942636,321.414408,-15.41874464,-16.44937932,-94.18516955,-77.33942357,29.18668143,-6.918729744,-10.25156717,100.7771178,36.52122952,7.560825361
S123,30.39051968,328.265267,-13.10865158,-14.12836133,-94.8473211,-83.82453294,31.89794099,-1.971830732,-11.81399567,103.697563,36.04199328,7.537803528
S124,38.5766408,330.9164437,-12.58353399,-13.60596492,-90.75246502,-87.93064838,30.7906975,1.389812194,-14.84374706,102.5586551,32.88395318,7.623751514
S125,38.22100067,327.3454654,-13.66026361,-14.69203364,-84.25639187,-88.48777717,30.1416046,4.43511109,-18.33800977,102.8028152,29.94177405,7.786333389
S126,35.34107075,321.978681,-15.0408939,-16.13527353,-72.69755285,-80.34804985,28.52208431,7.21517266,-20.18246448,108.3438459,28.3227026,8.110384988
S127,33.9221874,304.0257953,-16.47644015,-17.66746346,-60.27713166,-70.50185508,26.51089313,9.374787928,-21.74988629,111.7752942,28.55187378,8.166120077
S128,33.84659395,277.280778,-16.82526494,-18.14573033,-45.49478006,-58.66317143,24.35149982,10.97833493,-19.62181644,114.1322878,29.58475769,7.997141726
S129,32.70069277,231.2986005,-16.85474165,-18.30631437,-31.30745672,-48.04225276,21.28586496,11.02049115,-17.03865192,112.6787949,31.35562798,7.518137815
S130,29.92959483,172.2227588,-16.01410441,-17.60323529,-18.54314923,-39.52722622,16.69852911,10.15019053,-12.62918693,108.4904552,32.55007306,6.685880385
S131,20.7927842,115.362656,-16.48144107,-18.10949052,-6.918410191,-34.43184783,11.84809708,8.375523303,-9.959941865,103.4618415,31.20731887,5.953014353
S132,13.04068608,52.55924495,-15.56177936,-17.23064303,1.608946678,-28.50556738,4.622628382,7.162037261,-8.534077201,97.35027379,30.30503928,5.170181148
S133,8.401489035,-9.748693273,-13.78661874,-15.52148711,8.530063768,-22.3787255,-2.335708766,6.47646024,-7.944771665,90.71213993,30.52713995,4.395414098
S134,3.748413056,-71.65253794,-10.81555823,-12.63649167,12.15144384,-15.77925187,-12.58539854,5.978587209,-9.101005694,80.72998097,29.31954093,3.80378777
S135,0.02084753,-94.36196687,-9.334526076,-11.23973148,15.64467444,-11.33793297,-21.1659021,6.009236333,-9.071808318,74.01371587,28.01485614,3.736413497
S136,-1.809687972,-116.9547641,-7.787419122,-9.792107102,19.54083143,-8.615005824,-28.22181336,5.984694184,-8.326770326,65.17010414,28.11904081,3.560098648
S137,-3.688849082,-116.0086013,-7.332147113,-9.426520681,23.23516179,-7.264231056,-34.32379779,6.18074563,-6.867689246,58.56352105,28.14772781,3.72160542
S138,-4.796274275,-115.9705988,-7.243239995,-9.39830969,26.55142869,-6.921889873,-37.23578328,6.635209135,-5.912790195,51.91771267,27.45260169,3.826363086
S139,-7.988856706,-114.9756401,-7.343699896,-9.565635589,28.94406189,-6.682394609,-39.68316131,7.407387077,-4.87250758,46.07736083,26.45975399,3.885459145
S140,-10.11661547,-114.4736855,-7.199963127,-9.450530949,27.74673327,-6.687695781,-41.28429422,7.546325549,-3.003415984,46.17075917,25.50825425,3.903829598
S141,-12.88212481,-113.5878693,-7.212246135,-9.49520542,26.08053176,-6.823753709,-42.51252842,7.740190233,-0.983552108,46.50173351,24.46823286,3.905162781
S142,-13.2780795,-114.5372082,-7.103573377,-9.411206893,25.49337107,-6.515690837,-43.9405357,8.293030133,-1.497107261,43.08324997,21.03738162,4.051722898
S143,-14.27102794,-115.1641696,-7.072996456,-9.404847024,24.47496605,-6.09061752,-45.07747268,8.871716309,-2.020679186,39.87508382,17.64860785,4.19729766
S144,-15.56851436,-116.0717202,-7.003636727,-9.31371692,21.29002453,-5.122296883,-45.47683154,9.327378691,-3.526386519,38.47473818,13.4511106,4.464297502
S145,-17.31620628,-118.1941557,-5.970546471,-8.262475222,17.58863347,0.121817651,-34.64656911,8.792858268,-6.179982349,29.2266257,-1.015488669,6.595738158
S146,-17.68057197,-119.015024,-6.654607467,-8.901196508,14.78346233,2.933386419,-36.1416464,8.347204173,-5.248571013,32.11022911,-0.444564875,6.483338831
S147,-17.67622396,-119.840163,-7.522510028,-9.735604947,12.31920715,6.737995035,-37.65580132,7.912290977,-3.938147166,35.74558072,0.600630032,6.408257264
S148,-17.11230564,-120.3142754,-8.153775402,-10.32790042,10.09615029,10.40337125,-39.04878364,7.556970633,-2.722926583,38.98176038,1.165116491,6.380400634
S149,-16.25221955,-121.9658556,-8.796861695,-10.91099698,9.614059717,14.37677295,-40.82063636,7.722006867,-1.348335701,39.93551406,2.909866685,6.597787762
S150,-15.21051105,-122.9111926,-8.86073947,-10.97093739,9.839957877,16.36306215,-40.11392557,8.111442396,-1.459760699,37.24273462,2.631844059,6.95320411
S151,-13.17798858,-124.0110126,-8.865636457,-10.95586312,10.52279645,18.23335263,-39.31885642,8.381560695,-1.745074646,33.79377806,2.653311673,7.35064749
S152,-11.64548432,-123.9604926,-8.208906311,-10.3302787,10.30138592,16.95136081,-36.86546972,8.394718227,-2.493074096,31.03652372,1.094547412,7.739885287
S153,-11.06200541,-121.6706825,-7.59031116,-9.751277397,9.776342836,15.78082721,-34.41310615,8.209705683,-3.15853593,29.32739329,-0.633562281,8.05700002
S154,-11.49520647,-118.8010504,-7.374363278,-9.570876953,9.86918138,14.21292747,-32.90142776,7.99106779,-3.140368993,28.76785019,-2.254979971,8.151696072
S155,-11.51976196,-86.23749629,-8.373257821,-10.58359984,10.26294254,12.88915299,-31.67087321,8.042639972,-2.928765817,28.93011477,-3.369253643,8.803503682
S156,-13.85040218,-54.14421722,-10.97366135,-13.13165189,8.202257267,12.38846433,-27.31808149,7.283646815,-2.295680599,34.4708909,-3.70689317,9.131766529
S157,-17.07441283,15.87254171,-15.15818327,-17.18466229,6.158222992,11.74841448,-22.69936544,5.143332011,-1.609878907,41.4479351,-4.001236745,10.24537638
S158,-22.02084494,84.21290929,-19.13733562,-20.86262717,3.079977246,16.37972571,-10.98228218,0.336663497,-0.431203923,51.64772967,-5.971980086,11.66745123
S159,-25.00664069,164.5050268,-23.40493379,-24.90398756,2.345492369,23.38682472,5.936474914,-3.97093,3.412572114,64.98737632,-4.32910646,13.36321811
S160,-22.08290865,237.2047915,-27.78791834,-29.38675288,4.922315089,25.63516482,27.41394484,-10.571126,10.14980613,80.00362155,3.606099244,14.44777155
S161,-1.709373073,304.7309558,-31.65732166,-33.6520067,10.67966094,27.37635065,49.48168778,-19.24979996,18.7337419,92.8737232,13.94023229,15.20835771
S162,31.52012187,356.7876684,-32.11195748,-34.53239717,16.3300424,15.81175622,58.16015811,-28.63415819,24.49042363,100.6003714,9.188945418,14.9928828
S163,55.18913661,373.9238258,-28.44694072,-31.1967885,17.67455957,5.632018448,57.1336795,-41.91909097,25.809873,101.2310395,1.305046742,13.55590357
S164,61.0908771,365.4982023,-23.63271658,-26.42940401,16.92758978,-13.01870364,46.56509162,-58.16870394,19.9115454,92.70879774,-17.32993555,11.75872437
S165,56.76663523,343.7135025,-21.98344938,-24.64588752,13.34591407,-26.86768913,42.35398014,-67.12454332,14.54693143,84.45039893,-30.46095415,10.08775156
S166,58.34958845,330.6774028,-21.81599837,-24.34214039,14.56425964,-33.49342074,41.67747008,-68.122625,11.22098653,78.0637627,-31.14494343,8.819966114
S167,55.29263318,322.1436811,-21.68274133,-24.13017422,15.91976672,-35.73400124,41.46570105,-64.51276642,10.24464349,75.77939522,-30.61931312,8.053975711
S168,54.12720504,318.9288036,-22.35745639,-24.72063942,24.80544087,-35.33881538,40.05229617,-64.87913065,7.193793093,69.88702857,-31.55762625,8.244071417
S169,43.73521927,318.7049442,-24.01385821,-26.36899619,35.47132927,-33.43321948,37.47091758,-66.03119821,5.185863822,66.30259978,-30.2393608,8.903853702
S170,33.75934212,317.8763847,-26.24533854,-28.65993854,40.40056983,-33.25650488,36.27484735,-68.60999141,4.107501929,64.19067181,-24.70311002,9.098216731
S171,39.04513738,339.8180896,-22.62023378,-24.76722304,37.89367407,-31.45742977,35.53381852,-58.89948399,7.57359788,68.00652821,-32.89341108,9.908985224
S172,41.17080522,355.6916354,-19.65877608,-21.6697225,36.61132395,-28.78496192,35.34240924,-49.37925022,10.1871173,70.35452157,-39.42523199,10.58696302
