ダウンロードした時刻：2022/07/13 21:29:22

,福井,福井,福井,福井,福井,福井
年月日,天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)
,,品質情報,均質番号,,品質情報,均質番号
2018/6/1,曇後晴,8,1,晴,8,1
2018/6/2,快晴,8,1,快晴,8,1
2018/6/3,晴一時薄曇,8,1,薄曇一時晴,8,1
2018/6/4,晴,8,1,晴一時曇,8,1
2018/6/5,曇後時々雨,8,1,雨,8,1
2018/6/6,雨後時々曇,8,1,曇後時々晴,8,1
2018/6/7,晴,8,1,晴,8,1
2018/6/8,晴後曇時々雨,8,1,曇時々雨,8,1
2018/6/9,曇,8,1,晴後曇,8,1
2018/6/10,曇,8,1,雨時々曇,8,1
2018/6/11,曇後時々雨,8,1,雨一時曇,8,1
2018/6/12,雨時々曇,8,1,曇時々雨,8,1
2018/6/13,晴時々曇一時雨,8,1,晴時々曇,8,1
2018/6/14,晴後薄曇,8,1,曇,8,1
2018/6/15,曇時々雨,8,1,曇後時々雨,8,1
2018/6/16,曇後晴,8,1,晴,8,1
2018/6/17,晴後薄曇,8,1,薄曇,8,1
2018/6/18,晴時々曇,8,1,晴時々曇,8,1
2018/6/19,薄曇,8,1,雨一時曇,8,1
2018/6/20,雨時々曇,8,1,雨後曇,8,1
2018/6/21,曇,8,1,晴,8,1
2018/6/22,晴時々薄曇,8,1,薄曇一時晴,8,1
2018/6/23,曇時々雨,8,1,曇後時々晴,8,1
2018/6/24,晴一時薄曇,8,1,晴一時薄曇,8,1
2018/6/25,晴後時々薄曇,8,1,薄曇時々晴,8,1
2018/6/26,薄曇,8,1,曇一時雨,8,1
2018/6/27,曇時々雨,8,1,雨時々曇,8,1
2018/6/28,曇一時雨,8,1,曇後晴,8,1
2018/6/29,曇時々雨、雷を伴う,8,1,曇時々雨,8,1
2018/6/30,曇後晴一時雨,8,1,曇時々晴,8,1
