ダウンロードした時刻：2022/07/13 21:38:06

,福井,福井,福井,福井,福井,福井
年月日,天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)
,,品質情報,均質番号,,品質情報,均質番号
2018/5/1,薄曇時々晴,8,1,曇後一時晴,8,1
2018/5/2,曇後雨,8,1,雨時々曇,8,1
2018/5/3,曇時々雨一時晴,8,1,晴後雨、雷を伴う,8,1
2018/5/4,晴一時雨、あられを伴う,8,1,晴一時曇,8,1
2018/5/5,晴,8,1,晴時々薄曇,8,1
2018/5/6,薄曇一時晴,8,1,大雨,8,1
2018/5/7,雨,8,1,曇一時雨,8,1
2018/5/8,曇一時雨,8,1,雨時々曇,8,1
2018/5/9,曇時々雨,8,1,雨一時曇,8,1
2018/5/10,曇後晴,8,1,晴後一時薄曇,8,1
2018/5/11,薄曇時々晴,8,1,晴時々薄曇,8,1
2018/5/12,曇,8,1,曇,8,1
2018/5/13,大雨,8,1,雨時々曇,8,1
2018/5/14,曇後晴,8,1,晴後一時曇、霧を伴う,8,1
2018/5/15,晴一時薄曇,8,1,晴一時薄曇,8,1
2018/5/16,薄曇,8,1,曇,8,1
2018/5/17,曇時々雨,8,1,曇一時晴,8,1
2018/5/18,曇後一時雨,8,1,大雨,8,1
2018/5/19,曇時々雨,8,1,曇時々雨後一時晴,8,1
2018/5/20,晴後一時薄曇,8,1,曇,8,1
2018/5/21,晴時々薄曇,8,1,晴,8,1
2018/5/22,晴,8,1,曇時々晴,8,1
2018/5/23,雨一時曇,8,1,雨時々曇,8,1
2018/5/24,晴一時曇,8,1,晴,8,1
2018/5/25,晴一時薄曇,8,1,薄曇一時晴,8,1
2018/5/26,薄曇後晴,8,1,快晴,8,1
2018/5/27,晴後薄曇,8,1,薄曇,8,1
2018/5/28,曇,8,1,晴,8,1
2018/5/29,曇,8,1,曇,8,1
2018/5/30,雨時々曇、雷を伴う,8,1,曇後一時雨,8,1
2018/5/31,雨時々曇、雷を伴う,8,1,曇時々雨、雷を伴う,8,1
