ダウンロードした時刻：2022/07/13 21:39:14

,福井,福井,福井,福井,福井,福井
年月日,天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)
,,品質情報,均質番号,,品質情報,均質番号
2018/9/1,曇時々雨,8,1,曇一時霧,8,1
2018/9/2,薄曇後時々晴,8,1,晴一時曇,8,1
2018/9/3,晴,8,1,晴時々薄曇,8,1
2018/9/4,曇後暴風雨,8,1,曇時々大雨,8,1
2018/9/5,晴,8,1,晴一時曇,8,1
2018/9/6,晴後曇時々雨,8,1,曇時々雨,8,1
2018/9/7,大雨後曇,8,1,大雨一時曇,8,1
2018/9/8,雨,8,1,雨時々曇,8,1
2018/9/9,雨,8,1,雨一時曇,8,1
2018/9/10,雨後曇,8,1,晴後曇,8,1
2018/9/11,晴時々曇,8,1,曇一時晴後時々雨,8,1
2018/9/12,曇後時々雨,8,1,曇時々雨,8,1
2018/9/13,曇後時々雨,8,1,大雨,8,1
2018/9/14,曇後一時雨,8,1,大雨,8,1
2018/9/15,雨時々曇,8,1,曇時々晴後一時霧,8,1
2018/9/16,曇一時雨後一時晴,8,1,曇時々雨一時晴,8,1
2018/9/17,曇後一時雨,8,1,晴一時曇,8,1
2018/9/18,晴一時薄曇,8,1,晴,8,1
2018/9/19,晴後一時薄曇,8,1,晴後曇,8,1
2018/9/20,曇後雨,8,1,雨後時々曇,8,1
2018/9/21,曇時々雨,8,1,曇時々雨,8,1
2018/9/22,曇時々雨後晴,8,1,晴後一時霧,8,1
2018/9/23,晴一時霧後曇,8,1,曇,8,1
2018/9/24,曇,8,1,曇後雨,8,1
2018/9/25,曇一時雨,8,1,薄曇後晴,8,1
2018/9/26,曇一時晴、霧を伴う,8,1,雨時々曇,8,1
2018/9/27,曇一時晴,8,1,晴後一時雨,8,1
2018/9/28,晴一時霧,8,1,晴時々曇後雨,8,1
2018/9/29,大雨,8,1,雨時々曇,8,1
2018/9/30,曇後時々雨,8,1,雨,8,1
