ダウンロードした時刻：2022/07/13 21:37:55

,福井,福井,福井,福井,福井,福井
年月日,天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時)
,,品質情報,均質番号,,品質情報,均質番号
2018/4/1,晴一時曇,8,1,曇一時晴,8,1
2018/4/2,曇後晴,8,1,晴後時々薄曇,8,1
2018/4/3,薄曇後晴,8,1,晴時々曇,8,1
2018/4/4,曇時々晴一時雨,8,1,曇時々雨,8,1
2018/4/5,曇一時晴,8,1,曇後一時雨,8,1
2018/4/6,雨一時曇,8,1,雨時々曇,8,1
2018/4/7,雨後時々曇、あられを伴う,8,1,雨後一時晴、あられを伴う,8,1
2018/4/8,曇時々雨一時あられ、みぞれを伴う,8,1,晴後曇一時雨,8,1
2018/4/9,曇時々雨,8,1,晴、霧を伴う,8,1
2018/4/10,晴後時々薄曇,8,1,薄曇一時晴,8,1
2018/4/11,雨時々曇、雷を伴う,8,1,曇時々雨一時晴、雷・霧を伴う,8,1
2018/4/12,晴一時雨、霧を伴う,8,1,晴,8,1
2018/4/13,晴,8,1,晴時々薄曇,8,1
2018/4/14,曇後時々雨,8,1,大雨,8,1
2018/4/15,雨時々曇,8,1,曇一時晴,8,1
2018/4/16,晴時々薄曇,8,1,薄曇,8,1
2018/4/17,曇後一時雨,8,1,雨,8,1
2018/4/18,晴時々曇一時雨,8,1,快晴,8,1
2018/4/19,快晴,8,1,晴一時曇,8,1
2018/4/20,快晴,8,1,快晴,8,1
2018/4/21,快晴,8,1,快晴,8,1
2018/4/22,薄曇時々晴,8,1,晴後時々曇,8,1
2018/4/23,薄曇,8,1,　雨時々曇,8,1
2018/4/24,雨,8,1,大雨,8,1
2018/4/25,雨一時曇,8,1,雨一時曇,8,1
2018/4/26,晴後薄曇,8,1,薄曇,8,1
2018/4/27,曇,8,1,晴後時々曇,8,1
2018/4/28,晴一時曇,8,1,快晴,8,1
2018/4/29,快晴,8,1,晴後一時薄曇,8,1
2018/4/30,曇一時晴,8,1,晴,8,1
