Feature,SHAP Value 0 + Base Value,SHAP Value 1 + Base Value,SHAP Value 2 + Base Value,SHAP Value 3 + Base Value,SHAP Value 4 + Base Value,SHAP Value 5 + Base Value,SHAP Value 6 + Base Value,SHAP Value 7 + Base Value,SHAP Value 8 + Base Value,SHAP Value 9 + Base Value,SHAP Value 10 + Base Value,SHAP Value 11 + Base Value,SHAP Value 12 + Base Value,SHAP Value 13 + Base Value,SHAP Value 14 + Base Value,SHAP Value 15 + Base Value,SHAP Value 16 + Base Value,SHAP Value 17 + Base Value,SHAP Value 18 + Base Value,SHAP Value 19 + Base Value,SHAP Value 20 + Base Value,SHAP Value 21 + Base Value,SHAP Value 22 + Base Value,SHAP Value 23 + Base Value,SHAP Value 24 + Base Value,SHAP Value 25 + Base Value,SHAP Value 26 + Base Value,SHAP Value 27 + Base Value,SHAP Value 28 + Base Value,SHAP Value 29 + Base Value,SHAP Value 30 + Base Value,SHAP Value 31 + Base Value,SHAP Value 32 + Base Value,SHAP Value 33 + Base Value,SHAP Value 34 + Base Value,SHAP Value 35 + Base Value,SHAP Value 36 + Base Value,SHAP Value 37 + Base Value,SHAP Value 38 + Base Value,SHAP Value 39 + Base Value,SHAP Value 40 + Base Value,SHAP Value 41 + Base Value,SHAP Value 42 + Base Value,SHAP Value 43 + Base Value,SHAP Value 44 + Base Value,SHAP Value 45 + Base Value,SHAP Value 46 + Base Value,SHAP Value 47 + Base Value,SHAP Value 48 + Base Value,SHAP Value 49 + Base Value,SHAP Value 50 + Base Value,SHAP Value 51 + Base Value,SHAP Value 52 + Base Value,SHAP Value 53 + Base Value,SHAP Value 54 + Base Value,SHAP Value 55 + Base Value
1,427.7442979269388,429.1858287888897,430.21028070715926,430.6706810733571,430.622274296681,430.05807348298765,428.99740992066484,427.9359986341559,429.35255376154277,430.27707214758414,430.7062374077001,430.63725580670376,430.0634463034552,428.9493073583179,427.8863385058023,429.3195284835256,430.2552863191445,430.85998747289835,430.6177416870978,430.05671406791083,428.9156575160837,427.80728151858574,429.3081228266312,430.2549371930928,430.69676945861113,430.6295290814968,430.0485672256508,428.99961853027185,427.8906774931232,429.32532772144344,430.2643840183957,430.6953309473577,430.6266105792371,430.0344577332627,428.94393729863305,428.12261068264536,429.4570170085726,430.338594689038,430.7335483420164,430.649283123135,430.0717663451884,429.0174310783825,428.31896740142975,429.55832948971994,430.39232635729803,430.7800103167094,430.6957087778203,430.118538532123,429.0545098801432,428.24332735032306,429.5619012293107,430.412033169929,430.8083939570066,430.7611994485537,430.2282311587592,429.23779472883416
2,300.20680595826434,311.03177755619373,300.800901131591,303.66265801854604,299.7999706645545,302.8659848849702,305.9116649351904,309.41231781758995,309.6991710532105,307.46035818819803,308.5698378422281,307.0137694898735,306.29869467730504,308.347560152424,303.89744049340226,303.7540034815777,305.8895717680072,324.6488864742833,305.0153099458167,296.0862689629925,304.84972118618987,316.6527105552751,312.66202705868267,314.25058632814086,310.5416770053215,309.1340412373481,310.23332741925424,310.2820777522802,307.8930837687784,307.68359410226594,306.3277063381729,304.556786808486,302.1448271770665,304.2527724707525,304.28266059609905,315.09332477877945,315.8384877300605,314.1057811486368,317.81841839293287,317.31327359813633,319.3608142287792,314.55967876227083,326.1424693209433,327.8299587487292,324.95838627431306,322.9320767023733,325.34133686627683,324.3509349221498,317.38514687457916,321.0076632571799,321.620020542858,322.85419419408515,326.06708468712907,328.92977752264903,326.659850661291,324.8220908976413
3,316.25168490152373,301.6346918032842,309.0331584710042,303.9343360383307,308.3126524662737,307.61583627422124,305.9121120334465,310.765917432985,310.47496954342216,314.7933720106016,310.29309251236845,308.46777142996484,309.4167850681779,306.5364290785203,303.0544105681654,303.2850482842409,302.54145921005266,324.48396174843504,304.7561461203586,309.96139385926944,303.4248831396075,304.4229838401579,306.5400281097967,308.7102498592492,309.4310833021241,309.8786838975724,308.9240251656786,308.69689717584714,306.2903853599103,304.2490397545711,304.75524883955507,305.1758580061912,309.450642125419,304.26174071691526,304.28592085136665,315.0527047931637,313.6565946143252,313.72380875310773,312.3996292607093,312.6883136898731,312.0279087091382,313.9441976391182,324.33044225572223,322.3404565579907,322.3907674499849,321.9717626234798,320.2661730651135,318.4042684378994,316.4510331094367,320.73099253646853,321.8838024147362,322.6785318310047,325.4504290215987,328.8969841957513,326.65124242661403,324.82208551046756
4,429.19764335306115,428.8283789797665,428.66307461070704,428.4924073050812,428.25218755843025,428.1351802075469,428.1586796630128,425.3536706983025,425.6011607503042,425.86706198099023,426.31035578499126,426.7024907994209,427.0122400601944,427.3693363174576,430.0063414842941,429.9959584785256,429.98293812320935,430.3264445310961,429.85010161646073,429.679710141039,429.5346979636671,425.5736938966329,425.96908496303524,426.3267428342132,426.9302168982839,427.4991257949205,428.0508756889607,428.53776721777774,429.7686791996636,429.76193896893955,429.7074231923126,429.6239864298763,429.53024444807056,429.4879237052748,429.4427010359164,430.1103408580352,430.0552522001643,429.9904295809406,430.0110944795592,430.0946576696447,430.0532905794312,429.98264602948075,425.30905435022225,425.4741752370643,425.7056234785233,425.88258426017154,426.0073145875525,426.6672941289088,427.29986536094634,429.7845559429591,429.82257834749237,429.8654081769917,429.7128621293639,429.5356861877518,428.854684414276,427.9595824657807
5,430.67006368342663,430.6425563357769,430.6135288877733,430.585525951102,430.55641592820484,430.59489507422893,430.6348387680444,430.6512170262486,430.658113003738,430.6086148434159,430.5928084676779,430.54538393846974,430.52218348454574,430.49999333924023,430.39155975613323,430.4093263062473,430.4260966083566,430.78559685956066,430.53003274954983,430.52751777221147,430.4951965819838,430.1971139727119,430.414457950969,430.5403250956675,430.63603921321334,430.66319863975497,430.6608506812285,430.6661544345661,430.68554664520934,430.6800017444241,430.6701082247132,430.6445387030087,430.61031283668126,430.57616767159374,430.5325148195302,422.80561298570217,423.397898409356,424.05980532198674,424.0791975026391,424.119675253825,424.25195513071276,424.4268345158962,427.5542427286478,427.632087044386,427.7231814166905,427.78443177644334,427.81972640274086,427.7532297410556,427.5722628229363,429.60086851328134,429.37939906857844,429.1402533754201,429.091139351845,429.0593023928095,428.3272665428276,427.47242899349965
6,424.03072227124727,423.6514766734198,423.2362285229847,423.14511086039863,423.0278220313001,423.70520625738965,424.29229648123777,425.6021711419893,425.47923665629855,425.1259398628317,425.1138615706517,424.89444301243566,424.5368647233636,424.13618968875835,422.52479541669095,422.7129937514011,422.87171466829807,424.21206899823073,422.5499752694966,422.28338640196944,421.82443640719,425.5870200367155,425.44528377760287,425.46386766646714,425.47360435541066,425.5102867092371,425.57824659995487,425.6380825784074,412.2433967744409,412.23948466673636,412.2991693050975,412.6241303794734,412.8547265782313,413.48707581047915,414.0436011537744,422.5712696870906,422.61137862820476,422.65312737750077,422.87717700638603,423.10553004506335,423.3856364598442,423.7067821614336,425.3914211062627,425.2912770637324,425.1697147653066,425.205626390225,425.14951440107393,425.0852286012168,425.07299018097007,425.71542659946044,425.6880029120544,425.569565226079,425.5452878644588,425.56614859719247,425.4379764297163,425.31843812151476
7,355.20205784454123,357.0670260742654,360.2653542479672,362.74672204553656,363.8043784154426,360.71782681120874,358.03782911062706,352.48868290468,352.79353709591965,351.5987405713214,354.3908795779911,355.60170897989235,355.3601078082297,356.3841092880131,357.15246744169485,356.9413157762305,356.5667973022353,366.27252378530727,356.44376281982585,358.12240446740566,357.16645809044365,352.08529961570105,352.9342496114814,349.79293585669046,351.0733241141762,351.2745958236099,351.2094538599856,351.5228239824479,376.61469086916304,377.51126828092816,378.251364135164,379.2899913889933,379.9407325869053,381.0086248151384,381.68965805253896,356.4689759766154,355.5301856763276,355.2053706942511,353.70483368184085,353.8065472938265,352.81834414281315,354.23816377361874,334.11409137668,332.53495085090674,332.3670051777887,332.87299474147494,332.1527269394132,331.182393700825,330.96049787031944,334.4911474308733,332.40693302437705,330.8124866941563,332.9024884488446,335.6691058857485,335.3139602554944,335.6520242022698
8,338.56551900090034,339.82689195436876,339.04590983524804,338.6308813839752,337.4924631998465,338.1753354551888,339.9236640036686,339.66292414820015,337.81456703849136,336.14260620930514,335.89770830581574,338.0135159025255,338.6662161628301,339.65381095528835,346.9613727318612,345.4568103472706,343.37837873251146,357.40724461875277,342.10970656703444,345.17723201761066,345.74084272135667,339.54406014244574,338.5971935402237,340.20455035733244,337.08638354257704,337.2810493167624,337.1653856792364,337.527514824164,330.4792853023745,330.41510199427967,329.5903302150213,329.25507420239467,326.707524279829,328.756789424079,328.64446058817606,331.6435289193299,331.3223396846784,331.79304033276844,330.2540419561832,330.11711651410695,329.9245268213697,332.0170367582338,338.0004615593784,336.58963286335444,336.8459980923933,336.79735573371465,335.7678538260714,339.4098339783636,348.960743980717,332.9889799002209,333.9304143909974,335.6786788909028,337.0391554216743,340.8280032986552,338.9009301724484,337.33968698067605
9,431.6431273063336,431.6432940802722,431.6434858318024,431.64359956990984,431.6437576855037,431.643594850915,431.6434273303448,431.6390224420857,431.63861334331006,431.638156431989,431.6371407768129,431.635582886951,431.6353839581355,431.63518606821725,431.6371958483224,431.63693734336016,431.63264313919126,431.74505809223484,431.639162234933,431.61729455582844,431.5600287477286,431.64175866802617,431.64147297970163,431.6472064548616,431.64282435651927,431.6414117455351,431.6411899262875,431.6409857506169,431.6461768335739,431.64616501265084,431.64618797780486,431.64622538045586,431.6463016347973,431.6463698987416,431.6464678502025,431.64355356487545,431.6427682945478,431.64196434800704,431.6339816239704,431.6175250586264,431.6176798289605,431.61915152780256,424.35077214695076,426.2610543903534,427.9589192339388,429.28507970164515,430.3115673801747,430.54020020369524,430.7548721661889,430.94896071547055,429.21887031583265,426.5007706876684,416.8950813643162,404.2657147171258,413.13778018481037,420.8877903455531
